datacenter,country_name
Amsterdam,Andorra
Amsterdam,United Arab Emirates
Amsterdam,Albania
Amsterdam,Armenia
Amsterdam,Angola
Toronto,Argentina
Amsterdam,Austria
Sydney,Australia
Amsterdam,Azerbaijan
Amsterdam,Bosnia and Herzegovina
Sydney,Bangladesh
Amsterdam,Belgium
Amsterdam,Burkina Faso
Amsterdam,Bulgaria
Amsterdam,Bahrain
Amsterdam,Benin
Toronto,Bolivia
Columbus,Brazil
Amsterdam,Belarus
Toronto,Canada
Amsterdam,Switzerland
Toronto,Chile
Toronto,China
Columbus,Colombia
Columbus,Costa Rica
Amsterdam,Cyprus
Amsterdam,Czechia
Amsterdam,Germany
Amsterdam,Denmark
Amsterdam,Estonia
Amsterdam,Egypt
Amsterdam,Spain
Amsterdam,Finland
Amsterdam,France
Amsterdam,United Kingdom
Amsterdam,Georgia
Amsterdam,Greece
Toronto,Guatemala
Sydney,Hong Kong
Amsterdam,Croatia
Amsterdam,Hungary
Sydney,Indonesia
Amsterdam,Ireland
Amsterdam,Israel
Amsterdam,India
Amsterdam,Iceland
Amsterdam,Italy
Sydney,Japan
Amsterdam,Kyrgyzstan
Amsterdam,Cambodia
Columbus,South Korea
Amsterdam,Kazakhstan
Amsterdam,Lebanon
Toronto,Saint Lucia
Amsterdam,Lithuania
Amsterdam,Luxembourg
Amsterdam,Latvia
Amsterdam,Morocco
Amsterdam,Moldova
Amsterdam,North Macedonia
Sydney,Myanmar
Amsterdam,Malta
Columbus,Mexico
Sydney,Malaysia
Amsterdam,Namibia
Amsterdam,Nigeria
Amsterdam,Netherlands
Amsterdam,Norway
Sydney,Nepal
Sydney,New Zealand
Amsterdam,Oman
Toronto,Panama
Columbus,Peru
Sydney,Philippines
Amsterdam,Pakistan
Amsterdam,Poland
Amsterdam,Portugal
Toronto,Paraguay
Amsterdam,Qatar
Amsterdam,Romania
Amsterdam,Serbia
Amsterdam,Saudi Arabia
Sydney,Solomon Islands
Amsterdam,Seychelles
Amsterdam,Sweden
Amsterdam,Singapore
Amsterdam,Slovenia
Amsterdam,Slovakia
Amsterdam,Sierra Leone
Sydney,Thailand
Amsterdam,Tajikistan
Amsterdam,Tunisia
Amsterdam,Turkey
Columbus,Trinidad and Tobago
Sydney,Taiwan
Amsterdam,Ukraine
Amsterdam,Uganda
Columbus,United States of America
Toronto,Uruguay
Toronto,Venezuela
Sydney,Vietnam
Amsterdam,South Africa
Amsterdam,Afghanistan
Amsterdam,Algeria
Amsterdam,Antigua and Barbuda
Amsterdam,Barbados
Columbus,Belize
Amsterdam,Bhutan
Amsterdam,Botswana
Amsterdam,Brunei
Amsterdam,Burundi
Amsterdam,Cameroon
Amsterdam,Cape Verde
Amsterdam,Central African Republic
Amsterdam,Chad
Amsterdam,Comoros
Amsterdam,Congo
Amsterdam,Côte d'Ivoire
Amsterdam,Cuba
Amsterdam,Democratic Republic of Congo
Amsterdam,Djibouti
Amsterdam,Dominica
Amsterdam,Dominican Republic
Amsterdam,Ecuador
Amsterdam,El Salvador
Amsterdam,Equatorial Guinea
Amsterdam,Eritrea
Amsterdam,Eswatini
Amsterdam,Ethiopia
Amsterdam,Fiji
Amsterdam,Gabon
Amsterdam,Ghana
Amsterdam,Greenland (Den.)
Amsterdam,Grenada
Amsterdam,Guinea
Amsterdam,Guinea-Bissau
Amsterdam,Guyana
Amsterdam,Haiti
Amsterdam,Honduras
Amsterdam,Iran
Amsterdam,Iraq
Columbus,Jamaica
Amsterdam,Jordan
Amsterdam,Kenya
Amsterdam,Kiribati
Amsterdam,Kosovo
Amsterdam,Kuwait
Amsterdam,Laos
Amsterdam,Lesotho
Amsterdam,Liberia
